title,description,author,content
Exxon Mobil second-quarter profit rises on Pioneer acquisition and surging production,Exxon Mobil’s second-quarter profit rose and was its second-highest for the period of the past decade as it achieved record quarterly production from its Permian and Guyana assets,MICHELLE CHAPMAN AP business writer,"Exxon Mobil recorded one of its largest second-quarter profits in a decade on surging quarterly production from oil and gas fields in Guyana and the Permian basin in the U.S., as well its  The Texas oil and gas giant earned $9.24 billion, or $2.14 per share, for the three months ended June 30, topping last year's profit of $7.88 billion, or $1.94 per share. The results topped Wall Street expectations, though Exxon does not adjust its reported results based on one-time events such as asset sales. Analysts surveyed by Zacks Investment Research were expecting earnings of $2.04 per share. “We achieved record quarterly production from our low-cost-of-supply Permian and Guyana assets, with the highest oil production since the Exxon and Mobil merger,"" Chairman and CEO Darren Woods said in a prepared statement Friday.  The Pioneer deal contributed $500 million to earnings in the first two months after closing, Exxon said.  Revenue for the Spring, Texas, company totaled $93.06 billion, topping Wall Street's expectations for $90.38 billion. Exxon's net production reached 4.4 million oil-equivalent barrels per day during the second quarter, an increase of 15% compared with the first three months of the year.  Oil prices are lower than they were at this point last year, and those high prices sent Exxon and other energy giants on a buying spree.  Exxon announced in July 2023 that it would pay $4.9 billion for Denbury Resources, an oil and gas producer that has entered the business of capturing and storing carbon and stands to benefit from  Three months later it said it would spend $60 billion on shale operator  In October  Chevron Corp. also reported its second-quarter financial results on Friday, which fell far short of profit expectations. In addition, the company said that it is moving its headquarters from San Ramon, California, to Houston, Texas. Chevron expects all corporate functions to transition to Houston over the next five years, with positions in support of its California operations remaining in San Ramon. Chairman and CEO Mike Wirth and Vice Chairman Mark Nelson will move to Houston before the end of the year. Chevron currently has about 7,000 employees in the Houston area and approximately 2,000 employees in San Ramon. The company runs crude oil fields, technical facilities, and two refineries and supplies more than 1,800 retail stations in California. Its shares slipped 1.7% before the opening bell.  Shares of Exxon Mobil Corp. fell slightly in premarket trading. Chevron shares fell 1.7%. "
Walgreens plans to sell another slice of its Cencora stake for $1.1 billion,The struggling drugstore chain Walgreens will get about $1.1 billion for selling another slice of its stake in drug distributor Cencora,The Associated Press,"The  Walgreens said after markets closed Thursday that it will use the proceeds mostly to pay down debt and for general corporate purposes. The deal reduces Walgreens’ stake in Cencora to about 10% from 12%. Walgreens also said in May that it was selling some Cencora shares for $400 million. That deal shaved its stake in the company down from 13%. Leaders of Walgreens Boots Alliance Inc. said in late June that they were finalizing a plan to turnaround its U.S. business. That push could result in the closing of hundreds of underperforming stores in the next few years. The company, like its competitors, has been struggling for years with tight reimbursement for the prescriptions it sells as well as other challenges like rising costs to operate its stores. The Deerfield, Illinois, company also has been  The company started 2024 by  Shares of Walgreens have shed more than half their value so far this year while broader indexes have climbed. In premarket trading the shares edged down 9 cents to $11.72. Cencora shares fell 1.3% to $241.24. "
"Trump is wrong about immigrants taking 'Black jobs,' economists say",The former president made the inaccurate claim this week.,Max Zahn,"Former President Donald Trump this week  ""Coming from the border are millions and millions of people who happen to be taking Black jobs,"" Trump said at a gathering of the National Association of Black Journalists in Chicago. ""They're taking the employment from Black people."" Trump has delivered the same dire warning about an immigrant threat to Black employment on multiple occasions throughout the 2024 campaign, including at a debate with President Joe Biden in June. Economists who spoke to ABC News dismissed the claim as false. In fact, they said, a tight  ""The claim is absolutely not true,"" Valerie Wilson, the director of a program on race, ethnicity and the economy at the left-leaning Economic Policy Institute Action, told ABC News. In a statement to ABC News, the Trump campaign claimed that undocumented immigrants pose a threat to Black employment. ""Illegal immigration disproportionally affects Black workers, including other minority workers, and we need to do everything to protect them from their jobs from being taken away,"" Trump campaign spokesperson Steven Cheung said. Cheung noted that the the current Black unemployment rate of 6.3% is higher than its lowest level under Trump of 5.3%. Inflation-adjusted weekly earnings for Black workers currently stand lower than they did at their high point under Trump, Cheung added. ""That is why President Trump has promised the largest deportation operation in American history since President Dwight D. Eisenhower. Kamala Harris will give amnesty and citizenship to all 15 million illegal aliens and make permanent the assault on Black American jobs,"" Cheung added. The all-time lowest figure for Black unemployment recorded in a single month registered at 4.8% in April 2023 during Biden's term. Last year, the average Black unemployment rate stood at 5.5%, setting a record for the lowest figure over a calendar year,  To be sure, the unemployment rate stood much higher than the 3.3% unemployment rate among white workers in 2023. Historically, the Black unemployment rate has clocked in roughly twice as high as that of white people, due in large part to continued racial discrimination among employers, economists  Another key metric has shown robust job gains among Black workers. Last year, the share of job holders between the ages of 25 to 54 -- known as the ""prime age"" for workers -- reached an all-time high of nearly 78% among Black people, the  ""The bottom line is immigrants aren't pushing out Black workers,"" Christian Weller, a professor of public policy at the University of Massachusetts at Boston who studies racial disparities in employment, told ABC News. ""It isn't particularly surprising,"" Weller added. That's because immigrants act not only as workers but also as consumers, helping fuel demand for goods and services, which in turn propels economic activity and drives up hiring, he said. The economy has grown at a solid pace in recent years, defying fears among some observers of a potential slowdown. Gross domestic product  In June, a budget outlook released by the nonpartisan Congressional Budget Office said immigration would account for a sizable share of U.S. economic growth over the coming decade. In all, the U.S. GDP will rise nearly $9 trillion higher than it would otherwise due to an anticipated influx of immigrants, the CBO  ""At the heart of this question is not just that these are people who are filling jobs that need to be filled, but they are also paying taxes, raising their families, and spending in the neighborhoods and communities in which they live,"" Michelle Holder, a labor economist at John Jay College of Criminal Justice, told ABC News. When speaking about the issue this week, Trump falsely characterized immigrants as a threat to ""Black jobs."" That phrase ""Black jobs,"" which Trump used previously, drew condemnation from some economists. Holder, who is also Black, said the term invokes a period of U.S. history that predates anti-discrimination laws, when some job listings explicitly described jobs as available only to Black applicants. ""I get a visceral reaction because there was a time in this country when there was work considered only suitable for Black people,"" Holder said. When asked about the phrase on Wednesday at the gathering of the National Association of Black Journalists, Trump said: ""A Black job is anybody that has a job. That's what it is."" Wilson, of Economic Policy Institute Action, also criticized the phrase, in part because it fails to acknowledge the issue of ""occupational segregation,"" in which employers tend to place Black workers in low-wage positions rather than high-wage ones. The U.S., she added, has made progress in addressing that trend in recent years, though it remains an impediment for wage gains among Black workers. ""It's just a very poor choice of words in terms of trying to say anything about the labor market, and it's a poor choice of words in particular because it's offensive,"" said Wilson, who is Black. ""It totally ignores the facts about the current economy and the improvement that we've seen over the last four years,"" Wilson added. "
Disappointing jobs report fuels recession worries and calls for interest rate cut,"The U.S. added 114,000 jobs in July and the unemployment rate rose to 4.3%.",Max Zahn,"A weaker-than-expected jobs report on Friday fueled concern about a potential economic  Employers hired 114,000 workers last month, falling well short of economist expectations of 185,000 jobs,  The hiring in July marked a steep slowdown from the 206,000 jobs added over the previous month, and the new data came in well below the monthly average over the past year. The cooldown of the job market foretells a possible economic downturn and bolsters the case for an interest rate cut at the Federal Reserve’s next meeting in September, analysts told ABC News. The central bank may have erred in  “The labor market is in a perilous spot,” Nick Bunker, economic research director for North America at Indeed Hiring Lab, told ABC News in a statement. “It’s not clear what changes and rescues it from its current trajectory.” The report on Friday indicates that the job market is cooling faster than previously known, rekindling fears of a recession, some analysts said. The unemployment rate has soared this year from 3.7% to 4.3%. That trend has triggered a recession indicator known as the “Sahm Rule,” which says that a rise of 0.5 percentage points in the unemployment rate within a 12-month period typically precedes a recession. The major stock indexes fell in early trading on Friday in response to the jobs data. ""The July employment report landed with a loud thud,” Mark Hamrick, senior economic analyst at Bankrate, told ABC News. In a  Citing a need to rekindle job growth, however, Krugman  The fresh jobs data extends a monthslong stretch of economic performance marked by the key conditions for a rate cut: falling inflation and slowing job gains. Price increases have  In recent months, Fed Chair Jerome Powell has shifted focus to the central bank’s responsibility for maintaining a robust job market, in addition to its goal of controlling inflation. “For a long time, since inflation arrived, it's been right to mainly focus on inflation. But now that inflation has come down and the labor market has indeed cooled off, we're going to be looking at both mandates,” Powell said last month at a meeting of The Economic Club of Washington, D.C. On Wednesday, Powell said the Fed may cut interest rates at its next meeting in September, though he said the central bank would like to see further evidence that inflation is heading downward. ""We’ve made no decisions about future meetings and that includes the September meeting,"" Powell said at a press conference in Washington D.C. ""We’re getting closer to the point at which we’ll reduce our policy rate, but we’re not quite at that point yet."" In recent months, observers voiced optimism about the possibility of a "" ""The soft landing in the U.S. labor market is in danger,"" said Bunker. "
"Snap, Celanese fall; DoorDash, Clorox rise, Friday, 8/2/2024","Stocks that traded heavily or had substantial price changes on Friday: Snap, Celanese fall; DoorDash, Clorox rise",The Associated Press,"NEW YORK --  Microchip Technology Inc., down $8.94 to $75.43. The chipmaker's revenue forecast for its current quarter fell short of Wall Street expectations. Atlassian Corp., down $29.56 to $143.68. The software company's revenue forecast for the year fell short of analysts' expectations. Snap Inc., down $3.45 to $9.36. The owner of Snapchat reported second-quarter revenue that fell short of analysts' forecasts. DoorDash Inc., up $9.03 to $117.23. The delivery company's second-quarter revenue beat Wall Street forecasts. Cloudflare Inc., up $5.06 to $79.46. The web security and content delivery company raised its earnings forecast for the year. Twilio Inc., up $6.59 to $62.86. The cloud-based communications company's revenue forecast surpassed Wall Street expectations. Clorox Co., up $9.95 to $144.09. The maker of bleach and other household products gave a revenue forecast above analysts' projections. Celanese Corp., down $6 to $131.55. The chemical company’s profit forecast for the year fell short of Wall Street expectations. "
North Dakota voters will decide whether to abolish property taxes,North Dakota voters will decide in November whether to eliminate property taxes,JACK DURA Associated Press,"BISMARCK, N.D. --  Secretary of State Michael Howe's office said Friday that backers submitted more than enough signatures to qualify the  Property taxes are the base funding for numerous local government services, including sewers, water, roads, jails, deputies, school building construction and teacher salaries — “pretty much the most basic of government,” said North Dakota Association of Counties Executive Director Aaron Birst. Rising property taxes, often fueled by rising home values, have frustrated people across the U.S. North Dakota's initiative qualified for the ballot as  The campaign in North Dakota is happening as the state is experiencing good finances, especially strong oil and sales taxes. The leader of the measure drive, former Republican state Rep. Rick Becker, said it would help provide property tax relief. He said people often don’t fully understand the process around property valuations and taxation. “They don't think it's fair. They just wait to get a letter in the mail telling them what their home is now valued at, and that increase in value causes increase in taxes. But yet everyone seems to pass the buck because the locals say, 'Well, we didn't raise your taxes' — well, we're paying more taxes,” said Becker, a plastic surgeon in Bismarck and unsuccessful  If the measure passes, the state would have to replace over $1.3 billion a year beginning in 2025, according to a preliminary  Becker said local governments would still be in charge of their budgets and for generating revenue they would need above the flat, annual amount the state would replace. He floated a combination of a “municipal operations” and infrastructure maintenance fee or tax for every household and business. Those would be more fair and transparent, he said. Where the replacement revenue comes from is up to the Legislature, Becker said. He suggested a portion could come from earnings of the state's $10.7 billion  Keep It Local, a coalition of groups with ties to agriculture, education, health care, public safety and other areas, opposes the measure, saying residents could face “profound consequences"" if property taxes are eliminated. “The measure to eliminate property tax threatens our ability to fund essential services locally, tasks our state legislature with covering a funding gap of approximately $1.3 billion per year, and jeopardizes the quality of life we cherish in our neighborhoods and towns,"" Chad Oban, Keep It Local chair, said in a statement. The ballot measure would present a monumental task for the Legislature's budget writers, who would have to rethink funding of myriad items, said Republican state Rep. Don Vigesaa, who leads the House Appropriations Committee. The Legislature's research agency already has put together a tentative list of areas and programs where funding could be taken, such as the state's “Operation Prairie Dog” infrastructure fund, he said. Regardless of the election outcome, property tax issues loom large for the 2025 session, Vigesaa said.  Last year, the Republican-led Legislature passed a package of income tax cuts and property tax credits estimated at $515 million. "
"Nebraska, Ohio State, Alabama raise NIL funds at football practice through fan admission, autographs","Tradition-rich college football programs Nebraska, Ohio State and Alabama are capitalizing on the passion of their fans to generate funds for their NIL collectives",ERIC OLSON AP college football writer,"LINCOLN, Neb. --  Nebraska and Ohio State are opening one or more of their preseason practices to the public and charging admission. Alabama will let fans in for free to an open practice, but those who want to get player autographs afterward will be required to pay a few bucks to join the Crimson Tide's collective. NFL teams have long allowed fans to attend training camps, with most charging no admission. College athletes have been  Schools that struggle to fill their stadiums during the season probably would never ask fans to pay to watch a practice. It can work at places like Nebraska and Ohio State, which have long ranked among leaders in attendance and whose spring games, which are glorified practices, regularly draw between 60,000 and 80,000. Temple University associate professor Thilo Kunkel, who researches NIL’s impact on college sports, said opening practices for a price is a creative way to add to the NIL pool if a school can pull it off. Even though the players won't be in full pads and temperatures could be in the 90s, hardcore fans will come for an up-close look at the team. “They want more than just a Saturday afternoon game,"" Kunkel said. ""They want that authentic behind-the-scenes access and the practices actually are giving them that.” Nebraska is charging $25 per fan, any age, for its open 6 p.m. practice Saturday. Carson Schott, CEO of the 1890 collective, estimated 3,000 fans would show up.  “Husker fans are the most loyal, passionate fan base in the country!” Schott said in an email to The Associated Press. “We knew this event would have great support in helping Husker Athletics and 1890. The opportunity to watch and see how practice is run is a unique opportunity that is usually reserved for large donors. We couldn’t be more excited!” Cornhuskers coach Matt Rhule said Nebraska doesn't plan to charge for events that have traditionally been free, such as the annual Fan Day. “But moving forward in this new model, we have to find ways to raise revenue and to support 1890,” he said. “It’ll be a good practice. I want people to see the way that we practice. And at the end, we’ll have some fun.” Ohio State is charging $50 to attend one of four open practices, with the last one Sunday. Fans also get a pair of commemorative 2024 Ohio State training camp sunglasses and access to a FanFest. Attendance was capped at 750 per practice, meaning the Buckeyes could raise $150,000 for their NIL efforts if each practice sold out. Ohio State sold out two open practices last year, when tickets cost $30 and attendance was capped at 500. Alabama will let fans watch practice for free during its Fan Day on Aug. 11, but those who want to go through the autograph line will have to join the Yea Alabama collective. Memberships start at $18 per month. “The concept is really interesting,” Kunkel said. “It's basically top schools with brand value that can leverage that to generate extra funds. Even those top schools are facing the need to generate additional money because NIL compensation, as well as attracting players through NIL deals, is becoming more and more competitive.” ___ AP college football:  "
Pin-demonium hits Paris: Inside the pin-trading market at the Olympics,"On the other side of the Atlantic from Wall Street, a market more wholesome than cutthroat has sprung up at the Paris Olympics",RAPHAEL LEICESTER Associated Press,"PARIS --  The city has seen an influx of collectors from all over the world, each eager to begin or expand their Olympic pin collection and  “People are wired to trade. Human beings, we want to trade,” asserts Craig Robbins, a passionate pin collector from Los Angeles. “In life, if you cannot exchange, you die.” “Do you have any pins?” a Starbucks barista asks every journalist who comes in for coffee at the Palais des Congrès, the Olympics' main press center.  From bustling coffee shops to quiet streets, the same question has been echoing all over town, as Olympic volunteers, athletes, media workers, waiters, tourists and more all look for the same prized accessories.  “You can really feel the craze this year,” says French pin collector Laurent Facy.  The quest for pins has become an integral part of the Olympics, adding another layer of excitement to the Games. “It’s become a game; we trade a little bit like we used to at the playground,” he says. The tradition can be traced back to the first modern Olympic Games,  More than a century on, the badges have stretched and evolved into extremely detailed, intricate and, at times, technological pins, customized to participating countries, news organizations, brands and even people. “They’re like little pieces of art,” passionately declares Nicholas Wolaver, a dedicated American collector and trader. Los Angeles 1984 “You had media pins, sponsor pins, athlete pins, mascot pins. They found a way to really monetize pins for the public, and people were going crazy,” Wolaver says of those Games. After two Olympics  “Paris has been very good for pin collecting because after the pandemic, where you could not trade pins so much in Tokyo and Beijing, people are very excited,” Wolaver explains.  The pins' popularity has been boosted by social media and the fact that Olympians themselves are getting in on the game.  Britain's Andy Murray, the tennis player  “There’s one athlete from Liechtenstein and (Andy) was searching the village high and low for him to try and find this poor man,” she said. One of the buzziest pins at these Olympics is Snoop Dogg’s, which features  “What’s really cool is that Snoop Dogg made the youngests interested in pins too,” Robbins says.  The appeal of pin trading lies in its accessibility and inclusiveness. While the official Olympic competition is confined to stadiums, pin trading takes place everywhere — even online. (The Associated Press' own pins are already going for between $30-50 on eBay.) Wearing clothes seems to be the sole condition to participating. Traders and collectors adorn themselves — their badges, their shirts, their hats — with mosaics of multicolored pins, sparkling in the Paris summer light. Traders can spot each other from a distance, admiring each other’s weighty collection. The sight of a fellow collector’s vibrant display is often more than enough to spark a conversation. “Pins break down the walls where people can start talking to each other,” explains Robbins. “It was just a nice way to meet people,” adds Arr Alansod, sitting next to him in the street. And it doesn't just facilitate conversation with fellow enthusiasts. The pins serve as a draw for curious tourists and Olympics newcomers. “You get to meet a lot of people,” says Paul Ians, another American visitor and collector. “It’s not so much the other pin traders, it’s the regular people who are coming to the Olympics.” All seem to agree pins are a bridge between people, creating a platform for interesting encounters: “A lot of the time these strangers will tell you something you don’t know,” Ians says. Sometimes those strangers are a little higher-profile: In his 40 years of trading, French President Emmanuel Macron and  In essence, each pin holds a story, and through trading, people become storytellers, handing out pieces of their own personal, often Olympic tale. ___ For more coverage of the Paris Olympics, visit  "
"Justice Department sues TikTok, alleging the social media company violated a children's online privacy law","Justice Department sues TikTok, alleging the social media company violated a children's online privacy law",The Associated Press,NEW YORK --  
Tesla attorneys ask judge to vacate decision invalidating massive pay package for Elon Musk,Attorneys for Elon Musk and Tesla’s corporate directors are asking a Delaware judge to vacate her ruling requiring the company to rescind a massive pay package for Musk,RANDALL CHASE AP business writer,"WILMINGTON, Del. --  Friday's hearing follows a January ruling in which Chancellor Kathaleen St. Jude McCormick concluded that Musk engineered the landmark 2018 pay package in  Following the court ruling, Tesla shareholders  Defense attorneys say the vote makes clear that Tesla shareholders, with full knowledge of the flaws in the 2018 process that McCormick pointed out in her January ruling, are adamant that Musk is entitled to the pay package. “Honoring the shoulder vote would affirm the strength of our corporate system,” David Ross, an attorney for Musk and the other individual defendants, told McCormick. “This was stockholder democracy working.” Ross told the judge that the defendants were not challenging the factual findings or legal conclusions in her ruling, but simply asking that she vacate her order directing Tesla to rescind the pay package. McCormick, however, seemed skeptical of the defense arguments, peppering attorneys with questions and noting that there is no precedent in Delaware law for allowing a post-trial shareholder vote to ratify adjudicated breaches of fiduciary duty by corporate directors. “This has never been done before,” she said. Defense attorneys argued that, while they could find no case that is exactly comparable, Delaware law has long recognized shareholder ratification as a cure to corporate governance errors, and has long acknowledged the “sovereignty” of shareholders as the ultimate owners of a corporation. “I candidly don’t see how Delaware law can tell the owners of the company that they’re not entitled to make the decision they made,” said Rudolf Koch, an attorney for Tesla. Donald Verrilli, a lawyer for an induvial stockholder who owns more than 19,000 Tesla shares, suggested that it would be wrong for the lone shareholder who filed the lawsuit to thwart the will of the majority of Tesla shareholders. At the time the lawsuit was filed, the plaintiff owned just nine shares of Tesla stock. “The voice of the majority of shareholders should matter…. This lawsuit is not representing the interest of the shareholders,"" Verrilli said. Thomas Grady, an attorney for a group of Florida objectors who own or manage almost 8 million Tesla shares with some $2 billion, argued that for McCormick to rule for the plaintiff, she has to “disenfranchise” all other Tesla shareholders. Greg Varallo, an attorney for the plaintiff, urged McCormick not to give any credence to the June shareholder vote, saying it has no legal precedent in Delaware or anywhere else. There also is no reason for the court to reopen the trial record and admit new evidence, he said. Under Delaware law, stockholders have no authority to overrule courts by trying to use a post-trial ratification vote as a “giant eraser,” Varallo argued. “Ratification is not magic, and it never has been,” Varallo added. “This should end here and now.” McCormick gave no indication on when she would rule. She also has yet to rule on a huge and unprecedented  "
"Justice Department sues TikTok, accusing the company of illegally collecting children's data","The Justice Department sued TikTok on Friday, accusing the company of violating children’s online privacy law and running afoul of a settlement it had reached with another federal agency",HALELUYA HADERO AP business writer,"The Justice Department sued TikTok on Friday, accusing the company of violating children’s online privacy law and running afoul of a settlement it had reached with another federal agency.  The complaint, filed together with the Federal Trade Commission in a California federal court, comes as the U.S. and the prominent social media company are embroiled in  The latest lawsuit focuses on allegations that TikTok, a trend-setting platform popular among young users, and its China-based parent company ByteDance violated a federal law that requires kid-oriented apps and websites to get parental consent before collecting personal information of children under 13. It also says the companies failed to honor requests from parents who wanted their children's accounts deleted, and chose not to delete accounts even when the firms knew they belonged to kids under 13.  “This action is necessary to prevent the defendants, who are repeat offenders and operate on a massive scale, from collecting and using young children’s private information without any parental consent or control,” Brian M. Boynton, head of the Justice Department’s Civil Division, said in a statement. TikTok said it disagreed with the allegations, “many of which relate to past events and practices that are factually inaccurate or have been addressed.”  “We offer age-appropriate experiences with stringent safeguards, proactively remove suspected underage users and have voluntarily launched features such as default screentime limits, Family Pairing, and additional privacy protections for minors,” the company said in a statement.  The U.S. decided to file the lawsuit following  In 2019, the federal government sued Musical.ly, alleging it violated the Children’s Online Privacy Protection Act, or COPPA, by failing to notify parents about its collection and use of personal information for kids under 13. That same year, Musical.ly — acquired by ByteDance in 2017 and merged with TikTok — agreed to pay $5.7 million to resolve those allegations. The two companies were also subject to a court order requiring them to comply with COPPA, which the government says hasn’t happened.  In the complaint, the Justice Department and the FTC allege TikTok has knowingly allowed children to create accounts and retained their personal information without notifying their parents. This practice extends to accounts created in “Kids Mode,” a version of TikTok for children under 13. The feature allows users to view videos but bars them from uploading content. The two agencies allege the information collected included activities on the app and other identifiers used to build user profiles. They also accuse TikTok of sharing the data with other companies – such as Meta’s Facebook and an analytics company called AppsFlyer – to persuade “Kids Mode” users to be on the platform more, a practice TikTok called “re-targeting less active users.”  The complaint says TikTok also allowed children to create accounts without having to provide their age, or obtain parental approval, by using credentials from third-party services. It classified these as “age unknown” accounts, which the agencies say have grown into millions. After parents discovered some of their children’s accounts and asked for them to be deleted, federal officials said TikTok asked them to go through a convoluted process to deactivate them and frequently did not honor their requests. Overall, the government said TikTok employed deficient policies that were unable to prevent children's accounts from proliferating on its app and suggested the company was not taking the issue seriously. In at least some periods since 2019, the complaint said TikTok's human moderators spent an average of five to seven seconds reviewing accounts flagged as potentially belonging to a child. It also said TikTok and ByteDance have technology they can use to identify and remove children's accounts, but do not use them for that reason.  The alleged violations have resulted in millions of children under 13 using the regular TikTok app, allowing them to interact with adults and access adult content, the complaint said. In March, a person with the matter had told the AP the FTC’s investigation was also looking into whether TikTok violated a portion of federal law that prohibits “unfair and deceptive” business practices by denying that individuals in China had access to U.S. user data.  Those allegations were not included in the complaint, which is asking the court to fine the companies and enter a preliminary injunction to prevent future violations.  Other social media companies have also come under fire for how they’ve handled children’s data. In 2019, Google and YouTube agreed to pay a $170 million fine to settle allegations that the popular video site had illegally collected personal information on children without their parents’ consent.  And last fall, dozens of U.S. states sued Meta Platforms Inc., which owns Facebook and Instagram, for harming young people and contributing to the youth mental health crisis by knowingly and deliberately designing features on Instagram and Facebook that addict children to its platforms.  "
Airline passenger gets 19-month sentence. US says he tried to enter cockpit and open an exit door,An airline passenger who tried to make a shank from plastic cutlery and open the cockpit door during a flight has been sentenced to 19 months in prison,The Associated Press,"KANSAS CITY, Mo. --  A federal judge in Missouri handed down the sentence Thursday against Juan Remberto Rivas, 52. Prosecutors sought a term of between 41 months and 51 months, although they said Rivas was affected by his use of methamphetamine and wasn’t trying to cause a crash. The incident happened on an American Airlines flight from Los Angeles to Washington, D.C., in February 2022. Witnesses told an FBI agent that Rivas tried to use plastic cutlery and his shirt sleeve to make a shank, pushed a service cart into a flight attendant, and tried to open both the cockpit door and one of the plane’s exit doors. A flight attendant hit him over the head with a metal coffee pot, and passengers subdued the man, according to court documents. Pilots landed in Kansas City, where Rivas was arrested. Rivas pleaded guilty in January to a single count of interfering with a flight crew. Prosecutors said he had two previous convictions, including assaulting a spouse or ex-spouse, and faces a charge of assaulting a law enforcement officer in Missouri. "
What's behind the recent stock selloff?,The S&P 500 was on pace for its worst trading day in about two years.,Max Zahn,"The major  In early trading, the S The stock decline on Friday followed unsteady performance over roughly the past month. Until then, stocks had enjoyed strong gains this year. From the outset of 2024 through Thursday, the S The selloff is concerning since it’s rooted in a labor market cooldown that may signal a wider economic downturn, investors told ABC News. However, the solid state of the economy may very well allow it to weather the difficulty and send stocks back toward gains. “We don’t think it’s the start of a  “Today’s weaker economic data is certainly concerning,” Turnquist added. “We don’t think it’s pointing to an imminent recession, but it certainly changes the narrative.” A weaker-than-expected jobs report is fueling concern about a potential recession and calls for an interest rate cut. Employers hired 114,000 workers last month, falling well short of economist expectations of 185,000 jobs,  Still, the unemployment rate remains at a relatively low level in historical terms. Gross domestic product data last week showed that the U.S. economy grew much faster than expected over three months ending in June, according to the Commerce Department. “The stock market is churning as investors try to figure out if current valuations are justified given the softening economic data seen in recent months,” Clark Bellin, president and chief investment officer at Nebraska-based Bellwether Wealth, told ABC News in a statement. “Stock market volatility is very normal, and we believe the economy is still on a sound footing,” Bellin added. The fresh jobs data extends a monthslong stretch of economic performance marked by the key conditions for a  In recent months, Fed Chair Jerome Powell has shifted focus to the central bank’s responsibility for maintaining a robust job market, in addition to its goal of controlling inflation. “For a long time, since inflation arrived, it's been right to mainly focus on inflation. But now that inflation has come down and the labor market has indeed cooled off, we're going to be looking at both mandates,” Powell said last month at a meeting of The Economic Club of Washington, D.C. On Wednesday, Powell  An interest rate cut would ease borrowing costs for consumers and businesses alike, which may rekindle economic activity and boost hiring. Chris Zaccarelli, chief investment officer at North Carolina-based Independent Advisor Alliance, said it’s too early to tell whether the underwhelming jobs report on Friday foretells sustained losses for the stock market. “If it turns out that this is just some noise in the labor market data and that stabilizes -- similar to how we had some noise in the inflation data earlier this year before that stabilized -- then this will be looked back at as a temporary period of weakness in the economy and stock market,” Zaccarelli told ABC News. “However, if this is a beginning of a turn in the economy for the worse, then all bets are off,” Zaccarelli added. "
DOJ suing TikTok over alleged 'widespread' child privacy violations,The social media company is accused of unlawfully collecting data from children.,Alexander Mallin,"The Justice Department has filed a lawsuit against TikTok and its parent company, ByteDance, accusing  The civil consumer protection complaint filed Friday in federal court in California accuses TikTok of collecting a ""wide variety"" of personal information from children who created accounts on the app dating back to 2019 through the present day. The department further alleges that even when children created accounts in TikTok's designated ""Kids Mode,"" the company still unlawfully collected and retained children's email addresses and other personal information without notifying or getting consent from parents. The alleged privacy violations ""have resulted in millions of children under 13 using the regular TikTok app, subjecting them to extensive data collection and allowing them to interact with adult users and access adult content,"" the department said in a release announcing the lawsuit. ""The Department is deeply concerned that TikTok has continued to collect and retain children’s personal information despite a court order barring such conduct,"" acting Associate Attorney General Benjamin Mizer said in a statement. ""With this action, the Department seeks to ensure that TikTok honors its obligation to protect children’s privacy rights and parents’ efforts to protect their children."" A TikTok spokesperson disputed the allegations, saying many ""relate to past events and practices that are factually inaccurate or have been addressed."" ""We are proud of our efforts to protect children, and we will continue to update and improve the platform,"" the spokesperson said in a statement. ""To that end, we offer age-appropriate experiences with stringent safeguards, proactively remove suspected underage users, and have voluntarily launched features such as default screentime limits, Family Pairing, and additional privacy protections for minors."" The lawsuit against the company was widely expected after the Federal Trade Commission in June announced it had referred a complaint to the DOJ following an investigation of TikTok and ByteDance's alleged violations under the Children's Online Privacy Protection Act. TikTok said at the time it disagreed with the FTC's allegations, which it argued were either inaccurate or outdated policy practices the company had already addressed. The lawsuit also comes just days after the Justice Department argued in court filings that TikTok poses a unique threat to U.S. national security as it sought to defend a newly passed law that  "
